Date,Drug type,Origin,Transit,Destination,Seizure country,Seizure place,Routing,Concealment,Modus operandi,Total quantity (kg),Other quantity,Other unit,Case count,Arrests,Transport type,Container,Risk score,Risk band,Risk flags,Reports (n),Outlets,Text used,Headline,Link,Event ID
2026-09-20,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (930 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium,930.0,,,1,,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",1,Sample Herald,full,Customs seize 930 kg of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/137,137
2026-09-20,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (410 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium,410.0,,,1,,Sea - container,Yes,25,Medium,"Container cargo, Hidden in legitimate cargo",1,Mock Courier,full,Customs seize 410 kg of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/131,131
2026-09-20,Cocaine,Colombia,,,Netherlands,Rotterdam,Colombia -> Netherlands,Body concealment,Cocaine (1 kg) | Air - passenger | concealed: Body concealment | route: Colombia -> Netherlands,1.0,,,1,,Air - passenger,No,20,Low,"Multi-country route, Emerging corridor",1,Sample Herald,full,Passenger arrested at Schiphol after swallowing 90 pellets of cocaine,https://example.com/demo/117,117
2026-09-19,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (850 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium | 3 arrests,850.0,,,1,3.0,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Test Gazette,full,Customs seize 850 kg of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/132,132
2026-09-19,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (2.6 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium | 3 arrests,2600.0,,,1,3.0,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Mock Courier,full,Customs seize 2.6 tonnes of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/138,138
2026-09-19,Cocaine,,,,Belgium,Antwerp,,,Cocaine (450 kg) | Sea - container | 2 arrests | insider indicators,450.0,,,1,2.0,Sea - container,Yes,25,Medium,"Container cargo, Insider indicator",1,Test Gazette,full,Two port workers arrested after 450 kg of cocaine recovered from container in Antwerp,https://example.com/demo/142,142
2026-09-19,NSA,Netherlands,,United Kingdom,United Kingdom,Felixstowe,Netherlands -> United Kingdom,Postal / parcel,"NSA (20,000 pills) | Post/express | concealed: Postal / parcel | route: Netherlands -> United Kingdom",,20000.0,pills,1,,Post/express,No,0,Low,,1,Mock Courier,full,"Border officers intercept 20,000 MDMA tablets sent by post to United Kingdom",https://example.com/demo/118,118
2026-09-18,Cocaine,Peru,,Poland,Poland,Gdansk / Gdynia,Peru -> Poland,Legitimate cargo (industrial/goods),Cocaine (520 kg) | Sea - container | concealed: Legitimate cargo (industrial/goods) | route: Peru -> Poland | 3 arrests,520.0,,,1,3.0,Sea - container,Yes,55,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Emerging corridor",1,Demo Daily,full,Customs seize 520 kg of cocaine hidden in steel shipment at Gdansk,https://example.com/demo/139,139
2026-09-18,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (1.3 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium | 1 arrests,1300.0,,,1,1.0,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Example Post,full,Customs seize 1.3 tonnes of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/133,133
2026-09-17,Cocaine,Ecuador,,Belgium,Belgium,Antwerp,Ecuador -> Belgium,Legitimate cargo (food/produce),Cocaine (2.1 t) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Ecuador -> Belgium,2100.0,,,1,,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Test Gazette,full,Customs seize 2.1 tonnes of cocaine hidden in bananas shipment at Antwerp,https://example.com/demo/134,134
2026-09-17,Cocaine,Colombia,,,Spain,Algeciras,Colombia -> Spain,Legitimate cargo (food/produce),Cocaine (300 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Colombia -> Spain | 3 arrests,300.0,,,1,3.0,Sea - container,Yes,35,Medium,"Container cargo, Hidden in legitimate cargo, Multi-country route",2,Example Post,full,Incautan 300 kilos de cocaína en el puerto de Algeciras,https://example.com/demo/119,119
