Date,Drug type,Origin,Transit,Destination,Seizure country,Seizure place,Origin place,Destination place,Vessel,Shipping line,Container no.,Cover cargo,Routing,Concealment,Modus operandi,Total quantity (kg),Other quantity,Other unit,Case count,Arrests,Transport type,Container,Risk score,Risk band,Risk flags,Reports (n),Outlets,Text used,Language,Headline,Link,Event ID
2026-09-23,Cocaine,,Sierra Leone,,Spain,Algeciras,,,,,,cement; fish,Sierra Leone -> Spain,Legitimate cargo (food/produce); Legitimate cargo (industrial/goods); Vessel hull / underwater,Cocaine (30.0 t) | Sea - container | concealed: Legitimate cargo (food/produce); Legitimate cargo (industrial/goods); Vessel hull / underwater | route: Sierra Leone -> Spain,30000.0,,,1,,Sea - container,Yes,80,High,"Container cargo, Hidden in legitimate cargo, Advanced concealment, Large quantity, Multi-country route, Organised network, Multiple drugs",1,Hindustan Times,full,en,Cocaine Smugglers Blow Past Europe’s Law Enforcement with Speedboats and Tech,https://www.hindustantimes.com/world-news/cocaine-smugglers-blow-past-europe-s-law-enforcement-with-speedboats-and-tech-101790147515960.html,2890
2026-09-23,Methamphetamine,,,Spain,France,Le Havre,,,,,,,,Impregnation / liquid / disguised,Methamphetamine (2.4 t) | Sea - container | concealed: Impregnation / liquid / disguised | 13 arrests,2400.0,,,1,13.0,Sea - container,Yes,60,High,"Container cargo, Advanced concealment, Large quantity, Multi-country route, Multiple drugs",1,tendanceouest.com,full,fr,"Le Havre. 2,4 tonnes de méthamphétamine saisies : elle était dissoute dans de l'arôme de vanille",https://www.tendanceouest.com/actualite-442783-le-havre-2-4-tonnes-de-methamphetamine-saisies-elle-etait-dissoute-dans-de-l-arome-de-vanille,2926
2026-09-23,Methamphetamine,Pakistan,,Sri Lanka,United States,Washington,,Colombo,,,,cement,Pakistan -> Sri Lanka,Legitimate cargo (industrial/goods),Methamphetamine (463 kg) | Sea - container | concealed: Legitimate cargo (industrial/goods) | route: Pakistan -> Sri Lanka,463.0,,,1,,Sea - container,Yes,60,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Multi-country route, Organised network",1,ProPakistani,full,en,Pakistan and US Seize 463kg Crystal Meth Worth Rs. 5.8 Billion,https://propakistani.pk/2026/09/23/pakistan-and-us-seize-463kg-crystal-meth-worth-rs-5-8-billion/,2884
2026-09-23,Methamphetamine,Sri Lanka,,Sri Lanka,Afghanistan,Kabul,,Colombo,,,,cement,,Legitimate cargo (industrial/goods),Methamphetamine (463 kg) | Sea - container | concealed: Legitimate cargo (industrial/goods),463.0,,,1,,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",1,thekabultribune.com,full,en,463 Kilograms of Afghan-Origin Methamphetamine worth $21 Million Seized In US-Pakistan Operation,https://thekabultribune.com/en/0011273,2611
2026-09-23,Cocaine,Ghana,,,France,Dunkirk,,,,,,,Ghana -> France,,Cocaine (3.3 t) | Sea - container | route: Ghana -> France,3300.0,,,1,,Sea - container,Yes,50,High,"Container cargo, Large quantity, Multi-country route, Organised network, Multiple drugs",1,MyJoyOnline,full,en,We got more than 15% - Ntim Fordjour confirms support for Parliament recall over cocaine scandal,https://www.myjoyonline.com/we-got-more-than-15-ntim-fordjour-confirms-support-for-parliament-recall-over-cocaine-scandal/,2643
2026-09-23,Methamphetamine,United States,,Spain,France,Le Havre,Los Angeles,,,,,,United States -> Spain,Impregnation / liquid / disguised; Luggage / passenger goods; Postal / parcel,Methamphetamine (5 kg) | Sea - container | concealed: Postal / parcel; Luggage / passenger goods; Impregnation / liquid / disguised | route: United States -> Spain | 13 arrests,4.75,,,1,13.0,Sea - container,Yes,40,Medium,"Container cargo, Advanced concealment, Multi-country route, Multiple drugs",1,meretmarine.com,full,fr,"De la Polynésie au Havre, les douaniers français mobilisés face à la recrudescence des saisies de méthamphétamine",https://www.meretmarine.com/fr/defense/de-la-polynesie-au-havre-les-douaniers-francais-mobilises-face-a-la-recrudescence-des-saisies-de,2925
2026-09-23,Unspecified,,,,South Africa,OR Tambo / Johannesburg,,,,,,chemicals; cement,,Legitimate cargo (industrial/goods),"Unspecified (800,000 pills) | concealed: Legitimate cargo (industrial/goods) | 2 arrests",,800000.0,pills,1,2.0,Unknown,No,40,Medium,"Hidden in legitimate cargo, Large quantity, Organised network",1,IOL,full,en,"UPDATE: Foreign nationals arrested as Pretoria drug lab producing 800,000 tablets a day shuts down",https://iol.co.za/news/crime-and-courts/2026-09-09-two-foreign-nationals-arrested-in-multimillion-rand-mandrax-lab-bust-in-pretoria/,2906
2026-09-23,Cocaine,Honduras,,,Canada,Vancouver,,,,,,cement,Honduras -> Canada,Legitimate cargo (industrial/goods),Cocaine (328 kg) | Sea - container | concealed: Legitimate cargo (industrial/goods) | route: Honduras -> Canada,328.0,,,1,,Sea - container,Yes,40,Medium,"Container cargo, Hidden in legitimate cargo, Multi-country route, Organised network",5,"CTV News, Global News, Indo-Canadian Voice, Vancouver Sun, Yahoo News Canada",full,en,VPD seizes over 328 kg of cocaine from shipping container,https://voiceonline.com/vpd-seizes-over-328-kg-of-cocaine-from-shipping-container/,2593
2026-09-23,Cocaine,Spain,,United Kingdom,United Kingdom,,,,,,,,Spain -> United Kingdom,Legitimate cargo (industrial/goods); Luggage / passenger goods; Vehicle compartment,"Cocaine (84 kg, 255 plants) | Road | concealed: Legitimate cargo (industrial/goods); Vehicle compartment | route: Spain -> United Kingdom | 44 arrests",84.0,255.0,plants,1,44.0,Road,No,40,Medium,"Hidden in legitimate cargo, Advanced concealment, Organised network, Multiple drugs",2,"DSAlicante.com, theleader.info",full,es,Intenta huir con una furgoneta y destapa una operación entre Elche y Finestrat: 84 kilos de cocaína,https://dsalicante.com/sucesos-en-alicante/cocaina-elche-finestrat/,2655
2026-09-23,Cocaine,Argentina,,,Uruguay,,,,,,,,Argentina -> Uruguay,,Cocaine (2.1 t) | Sea - cargo (other) | route: Argentina -> Uruguay,2100.0,,,1,,Sea - cargo (other),No,35,Medium,"Large quantity, Multi-country route, Multiple drugs",1,Obozrevatel,full,ru,164 млн евро посреди океана: испанские спецслужбы перехватили яхту с тоннами кокаина,https://www.obozrevatel.com/novosti-mir/164-mln-evro-posredi-okeana-ispanskie-spetssluzhbyi-perehvatili-yahtu-s-tonnami-kokaina.htm,3065
